dt	AverageTemperature	AverageTemperatureUncertainty	City	Country	Latitude	Longitude
1751-06-01	14.429	1.579	Århus	Denmark	57.05N	10.33E
1751-07-01	16.638	0.89	Århus	Denmark	57.05N	10.33E
1751-08-01	16.547	0.728	Århus	Denmark	57.05N	10.33E
1751-09-01	12.177	0.582	Århus	Denmark	57.05N	10.33E
1751-10-01			Århus	Denmark	57.05N	10.33E
1751-11-01			Århus	Denmark	57.05N	10.33E
1751-12-01			Århus	Denmark	57.05N	10.33E
1752-01-01	-0.781	2.622	Århus	Denmark	57.05N	10.33E
1752-02-01			Århus	Denmark	57.05N	10.33E
1752-03-01	3.05	1.695	Århus	Denmark	57.05N	10.33E
1752-04-01	5.489	2.51	Århus	Denmark	57.05N	10.33E
1752-05-01			Århus	Denmark	57.05N	10.33E
1752-06-01			Århus	Denmark	57.05N	10.33E
1752-07-01			Århus	Denmark	57.05N	10.33E
1752-08-01			Århus	Denmark	57.05N	10.33E
1752-09-01			Århus	Denmark	57.05N	10.33E
1752-10-01	8.908	1.709	Århus	Denmark	57.05N	10.33E
1752-11-01	5.637	0.921	Århus	Denmark	57.05N	10.33E
1752-12-01	2.242	1.175	Århus	Denmark	57.05N	10.33E
1753-01-01	-1.259	8.151	Århus	Denmark	57.05N	10.33E
1753-02-01	-0.285	3.715	Århus	Denmark	57.05N	10.33E
1753-03-01	4.21	3.695	Århus	Denmark	57.05N	10.33E
1753-04-01	6.765	6.727	Århus	Denmark	57.05N	10.33E
1753-05-01	10.65	2.308	Århus	Denmark	57.05N	10.33E
1753-06-01	14.444	3.891	Århus	Denmark	57.05N	10.33E
1753-07-01	16.293	2.619	Århus	Denmark	57.05N	10.33E
1753-08-01	15.808	8.671	Århus	Denmark	57.05N	10.33E
1753-09-01	13.226	1.602	Århus	Denmark	57.05N	10.33E
1753-10-01	9.529	2.69	Århus	Denmark	57.05N	10.33E
1753-11-01	2.871	3.616	Århus	Denmark	57.05N	10.33E
1753-12-01	-3.228	5.421	Århus	Denmark	57.05N	10.33E
1754-01-01	-0.566	2.065	Århus	Denmark	57.05N	10.33E
1754-02-01	-0.943	4.59	Århus	Denmark	57.05N	10.33E
1754-03-01	-0.645	4.091	Århus	Denmark	57.05N	10.33E
1754-04-01	5.658	8.046	Århus	Denmark	57.05N	10.33E
1754-05-01	12.266	3.395	Århus	Denmark	57.05N	10.33E
1754-06-01	14.835	1.596	Århus	Denmark	57.05N	10.33E
1754-07-01	15.04	3.327	Århus	Denmark	57.05N	10.33E
1754-08-01	15.537	5.868	Århus	Denmark	57.05N	10.33E
1754-09-01	12.023	4.118	Århus	Denmark	57.05N	10.33E
1754-10-01	9.129	1.831	Århus	Denmark	57.05N	10.33E
1754-11-01	4.141	2.133	Århus	Denmark	57.05N	10.33E
1754-12-01	1.45	2.848	Århus	Denmark	57.05N	10.33E
1755-01-01	-3.436	5.961	Århus	Denmark	57.05N	10.33E
1755-02-01	-4.277	4.258	Århus	Denmark	57.05N	10.33E
1755-03-01	0.356	5.25	Århus	Denmark	57.05N	10.33E
1755-04-01	7.591	5.079	Århus	Denmark	57.05N	10.33E
1755-05-01	10.978	2.551	Århus	Denmark	57.05N	10.33E
1755-06-01	16.671	3.943	Århus	Denmark	57.05N	10.33E
1755-07-01	17.572	2.255	Århus	Denmark	57.05N	10.33E
1755-08-01	14.833	3.26	Århus	Denmark	57.05N	10.33E
1755-09-01	11.725	1.047	Århus	Denmark	57.05N	10.33E
1755-10-01	8.033	7.966	Århus	Denmark	57.05N	10.33E
1755-11-01	3.284	8.889	Århus	Denmark	57.05N	10.33E
1755-12-01	1.664	8.234	Århus	Denmark	57.05N	10.33E
1756-01-01	2.011	6.563	Århus	Denmark	57.05N	10.33E
1756-02-01	2.887	4.599	Århus	Denmark	57.05N	10.33E
1756-03-01	2.684	7.896	Århus	Denmark	57.05N	10.33E
1756-04-01	4.208	2.869	Århus	Denmark	57.05N	10.33E
1756-05-01	9.351	5.898	Århus	Denmark	57.05N	10.33E
1756-06-01	16.632	3.577	Århus	Denmark	57.05N	10.33E
1756-07-01	18.103	2.502	Århus	Denmark	57.05N	10.33E
1756-08-01	15.019	10.591	Århus	Denmark	57.05N	10.33E
1756-09-01	13.473	3.869	Århus	Denmark	57.05N	10.33E
1756-10-01	8.355	4.119	Århus	Denmark	57.05N	10.33E
1756-11-01	1.251	5.456	Århus	Denmark	57.05N	10.33E
1756-12-01	-0.652	2.805	Århus	Denmark	57.05N	10.33E
1757-01-01	-2.442	3.497	Århus	Denmark	57.05N	10.33E
1757-02-01	0.857	4.937	Århus	Denmark	57.05N	10.33E
1757-03-01	1.727	4.201	Århus	Denmark	57.05N	10.33E
1757-04-01	7.756	7.117	Århus	Denmark	57.05N	10.33E
1757-05-01	10.081	4.089	Århus	Denmark	57.05N	10.33E
1757-06-01	16.435	4.667	Århus	Denmark	57.05N	10.33E
1757-07-01	20.179	7.554	Århus	Denmark	57.05N	10.33E
1757-08-01	16.896	5.377	Århus	Denmark	57.05N	10.33E
1757-09-01	12.893	9.281	Århus	Denmark	57.05N	10.33E
1757-10-01	4.851	12.809	Århus	Denmark	57.05N	10.33E
1757-11-01	5.123	6.157	Århus	Denmark	57.05N	10.33E
1757-12-01	0.325	11.445	Århus	Denmark	57.05N	10.33E
1758-01-01	-3.154	1.744	Århus	Denmark	57.05N	10.33E
1758-02-01	-1.142	3.545	Århus	Denmark	57.05N	10.33E
1758-03-01	1.188	4.982	Århus	Denmark	57.05N	10.33E
1758-04-01	4.075	9.029	Århus	Denmark	57.05N	10.33E
1758-05-01	12.793	6.694	Århus	Denmark	57.05N	10.33E
1758-06-01	15.525	5.937	Århus	Denmark	57.05N	10.33E
1758-07-01	15.706	9.589	Århus	Denmark	57.05N	10.33E
1758-08-01	16.438	7.794	Århus	Denmark	57.05N	10.33E
1758-09-01	11.267	3.687	Århus	Denmark	57.05N	10.33E
1758-10-01	6.045	13.217	Århus	Denmark	57.05N	10.33E
1758-11-01	4.106	10.942	Århus	Denmark	57.05N	10.33E
1758-12-01	0.121	6.573	Århus	Denmark	57.05N	10.33E
1759-01-01	2.671	7.513	Århus	Denmark	57.05N	10.33E
1759-02-01	3.162	9.225	Århus	Denmark	57.05N	10.33E
1759-03-01	3.402	3.972	Århus	Denmark	57.05N	10.33E
1759-04-01	6.065	6.655	Århus	Denmark	57.05N	10.33E
1759-05-01	9.503	3.857	Århus	Denmark	57.05N	10.33E
1759-06-01	16.363	6.911	Århus	Denmark	57.05N	10.33E
1759-07-01	18.645	5.303	Århus	Denmark	57.05N	10.33E
1759-08-01	17.196	8.176	Århus	Denmark	57.05N	10.33E
1759-09-01	12.299	7.154	Århus	Denmark	57.05N	10.33E
1759-10-01	8.314	5.691	Århus	Denmark	57.05N	10.33E
1759-11-01	1.885	7.407	Århus	Denmark	57.05N	10.33E
1759-12-01	-2.658	11.807	Århus	Denmark	57.05N	10.33E
1760-01-01	-4.787	5.421	Århus	Denmark	57.05N	10.33E
1760-02-01	-0.386	3.901	Århus	Denmark	57.05N	10.33E
1760-03-01	0.869	10.897	Århus	Denmark	57.05N	10.33E
1760-04-01	5.651	7.83	Århus	Denmark	57.05N	10.33E
1760-05-01	11.112	4.918	Århus	Denmark	57.05N	10.33E
